colName,coefVal,meanCoefVal,cdf_hat,zeroCDF_hat,p-value_hat,meanCoefCDF_hat,LB_hat (<= 0.025),UB_hat (>= 0.975),normal?,failToReject
Line_Chart&retrieve_value,1.2626125663200325,1.2549968638478086,0.605,0.0,0.0,0.581,1.0771396455771258,1.510867803664002,False,False
Line_Chart,0.0021325023972298554,0.026572849120574348,0.273,0.256,0.512,0.385,-0.1650237327846234,0.1492478581047685,False,True
retrieve_value,-0.6339626164994758,-0.622546856167749,0.364,1.0,0.0,0.442,-0.7705589558726927,-0.5188625691526829,False,False
ChatGPT,-0.3411795926266273,-0.3722321507760436,0.719,1.0,0.0,0.452,-0.4905570419169092,-0.2820223439948762,False,False
Line_Chart&ChatGPT,0.09728959185869958,0.06981850926153307,0.437,0.195,0.39,0.321,-0.3061599247020786,0.2725608681224318,False,True
retrieve_value&ChatGPT,-1.4961680173619643,-1.4788171625315092,0.398,1.0,0.0,0.454,-1.796837550145339,-1.251190231732357,False,False
Line_Chart&retrieve_value&ChatGPT,1.9576748587733703,2.000998226660714,0.491,0.0,0.0,0.581,1.691292045849885,2.513040869471464,False,False
reVLAT_VizChoices&ChatGPT,0.23204929398942967,0.13251400899328286,0.5917498968647532,0.5,6.9e-322,0.5527109939951992,0.12802823391105472,0.1369997840755106,True,False
Line_Chart&reVLAT_VizChoices&ChatGPT,0.540368032473339,0.5719564654500506,0.251,0.068,0.136,0.313,-0.0979886223279564,0.93174493324547,False,True
retrieve_value&reVLAT_VizChoices&ChatGPT,-0.5783911172021186,-0.6478644033575244,0.522,1.0,0.0,0.29,-1.2911673894453377,-0.4051919038894742,False,False
Line_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,0.11069373382499992,0.2512852686126666,0.445,0.173,0.346,0.667,-0.1593494505748943,0.9640228273048272,False,True
reVLAT_NoVizChoices&ChatGPT,-0.573228886616078,-0.5047461597694244,0.214,1.0,0.0,0.466,-0.7088100241147622,-0.3438939170941156,False,False
Line_Chart&reVLAT_NoVizChoices&ChatGPT,-0.44307844061447055,-0.5021379561885307,0.69,0.993,0.014000000000000012,0.526,-0.9370172805989124,-0.0948017491481291,False,False
retrieve_value&reVLAT_NoVizChoices&ChatGPT,-0.9177769001604547,-0.8309527591740061,0.301,1.0,0.0,0.551,-1.1801330249624007,-0.4124277174589444,False,False
Line_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,1.846981124949373,1.749712958048038,0.644,0.0,0.0,0.497,1.2001651058066305,2.287645605554539,False,False
Gemini,-0.5185125574312738,-0.5183880905012619,0.458,1.0,0.0,0.459,-0.6312090402042279,-0.4273028349794044,False,False
Line_Chart&Gemini,-0.09515708946151125,-0.043245660140941444,0.343,0.714,0.5720000000000001,0.561,-0.2032901261217409,0.1854496131041513,False,True
retrieve_value&Gemini,0.8622054008629357,0.8562703063638369,0.563,0.0,0.0,0.535,0.6811846930405333,1.072163103434214,False,False
Line_Chart&retrieve_value&Gemini,-0.6950622924532451,-0.7460013628129171,0.618,1.0,0.0,0.472,-1.024390173926384,-0.5348838206643225,False,False
reVLAT_VizChoices&Gemini,-0.7057364946301516,-0.6375876773648835,0.2401768581695084,0.5,0.0,0.26187181222239075,-0.643381795491748,-0.6317935592380186,True,False
