col,success,a,b,summary,AIC,BIC,const. std err,x1 std err,const,x1,const (p-value),x1 (p-value),const (lb),const (ub),x1 (lb),x1 (ub),cov type,model DF,resid. DF,model MSE,resid. MSE,total MSE,R^2,adj. R^2
Line_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,True,73.40554952402283,58.225451823246026,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.999   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.999   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 8.533e+05   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:05     & \textbf{  Log-Likelihood:    } &    5100.6   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } & -1.020e+04  \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } & -1.019e+04  \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &      -0.0002  &        0.001     &    -0.273  &         0.785        &       -0.001    &        0.001     \\
\textbf{x1}    &       1.0003  &        0.001     &   923.758  &         0.000        &        0.998    &        1.002     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 195.848 & \textbf{  Durbin-Watson:     } &    0.143  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 4954.354  \\
\textbf{Skew:}          &   0.049 & \textbf{  Prob(JB):          } &     0.00  \\
\textbf{Kurtosis:}      &  13.904 & \textbf{  Cond. No.          } &     30.4  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-10197.156193922205,-10187.34068336424,0.0006056570625350853,0.0010828356506555775,-0.00016554721511520196,1.0002777154216613,0.7846523398928018,0.0,-0.0013540546246983878,0.0010229601944679839,0.9981528195461337,1.0024026112971889,nonrobust,1.0,998.0,1.8586831415895009,2.1781574223651852e-06,0.0018627196623593808,0.9988318279295721,0.9988306574164755
Line_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,True,52.55752564073395,68.61839827906593,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.999   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.999   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 1.012e+06   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:06     & \textbf{  Log-Likelihood:    } &    5148.0   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } & -1.029e+04  \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } & -1.028e+04  \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0004  &        0.000     &     0.903  &         0.367        &       -0.000    &        0.001     \\
\textbf{x1}    &       0.9991  &        0.001     &  1005.851  &         0.000        &        0.997    &        1.001     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 922.198 & \textbf{  Durbin-Watson:     } &     0.311  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 57761.188  \\
\textbf{Skew:}          &  -3.986 & \textbf{  Prob(JB):          } &      0.00  \\
\textbf{Kurtosis:}      &  39.369 & \textbf{  Cond. No.          } &      26.5  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-10291.989938280709,-10282.174427722744,0.00043311471871681947,0.0009932975675751056,0.00039126977331024534,0.9991097203834844,0.3665390632928992,0.0,-0.0004586502296694237,0.0012411897762899145,0.9971605290142918,1.0010589117526771,nonrobust,1.0,998.0,2.0043387238864345,1.9810867463798345e-06,0.0020083241726319536,0.9990145496909645,0.9990135622658052
Line_Chart&retrieve_value&reVLAT_VizChoices&Gemini,True,29.08119162152463,87.7669266225788,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.998   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.998   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 5.543e+05   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:06     & \textbf{  Log-Likelihood:    } &    4967.3   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -9931.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -9921.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0006  &        0.000     &     1.899  &         0.058        &    -2.15e-05    &        0.001     \\
\textbf{x1}    &       0.9975  &        0.001     &   744.536  &         0.000        &        0.995    &        1.000     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 612.583 & \textbf{  Durbin-Watson:     } &     0.141  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 20073.723  \\
\textbf{Skew:}          &  -2.249 & \textbf{  Prob(JB):          } &      0.00  \\
\textbf{Kurtosis:}      &  24.483 & \textbf{  Cond. No.          } &      26.7  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-9930.561116747398,-9920.745606189434,0.00033766420363223645,0.001339717481873429,0.0006411414061073392,0.9974674251215143,0.05788498132141092,0.0,-2.1471865977918943e-05,0.0013037546781925974,0.9948384387652915,1.000096411477737,nonrobust,1.0,998.0,1.5763078179361072,2.8436100163285375e-06,0.0015807264671996025,0.9982028746789516,0.998201073952177
Line_Chart&retrieve_value&reVLAT_NoVizChoices&Gemini,True,33.0786016343766,83.29936003554349,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.999   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.999   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 1.051e+06   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:07     & \textbf{  Log-Likelihood:    } &    5239.3   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } & -1.047e+04  \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } & -1.046e+04  \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &      -0.0002  &        0.000     &    -0.865  &         0.387        &       -0.001    &        0.000     \\
\textbf{x1}    &       1.0009  &        0.001     &  1025.020  &         0.000        &        0.999    &        1.003     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 289.427 & \textbf{  Durbin-Watson:     } &    0.259  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 3775.881  \\
\textbf{Skew:}          &   0.943 & \textbf{  Prob(JB):          } &     0.00  \\
\textbf{Kurtosis:}      &  12.331 & \textbf{  Cond. No.          } &     26.0  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-10474.567531301574,-10464.75202074361,0.0002804890591563633,0.0009764227765946594,-0.00024253446379400058,1.0008526939454745,0.3874199172296714,0.0,-0.0007929504429604993,0.0003078815153724981,0.9989366167185185,1.0027687711724305,nonrobust,1.0,998.0,1.734105730447637,1.6504829844443258e-06,0.0017374904028689814,0.9990510273630276,0.9990500764886419
Line_Chart&find_extremum&reVLAT_VizChoices&ChatGPT,True,0.426732303323436,26.98369340586864,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.814   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.814   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } &     4370.   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:07     & \textbf{  Log-Likelihood:    } &    3874.7   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -7745.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -7736.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0087  &        0.000     &    45.492  &         0.000        &        0.008    &        0.009     \\
\textbf{x1}    &       0.4543  &        0.007     &    66.109  &         0.000        &        0.441    &        0.468     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 98.874 & \textbf{  Durbin-Watson:     } &    0.005  \\
\textbf{Prob(Omnibus):} &  0.000 & \textbf{  Jarque-Bera (JB):  } &  128.664  \\
\textbf{Skew:}          & -0.878 & \textbf{  Prob(JB):          } & 1.15e-28  \\
\textbf{Kurtosis:}      &  2.930 & \textbf{  Cond. No.          } &     43.2  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-7745.381544828557,-7735.566034270592,0.0001916231129724441,0.00687234806359108,0.008717413404526787,0.45432320810114446,1.3912848255670953e-245,0.0,0.008341382967992495,0.00909344384106108,0.4408372981694998,0.46780911803278913,nonrobust,1.0,998.0,0.11050985674463955,2.5286077539823474e-05,0.00013588124337275613,0.8140967397420839,0.8139104639302022
Line_Chart&find_extremum&reVLAT_NoVizChoices&ChatGPT,True,1.5526333062000643,45.1201584425594,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.931   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.931   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 1.356e+04   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:07     & \textbf{  Log-Likelihood:    } &    4046.1   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -8088.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -8078.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0135  &        0.000     &    61.843  &         0.000        &        0.013    &        0.014     \\
\textbf{x1}    &       0.6017  &        0.005     &   116.467  &         0.000        &        0.592    &        0.612     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 353.600 & \textbf{  Durbin-Watson:     } &     0.008  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } &  1026.861  \\
\textbf{Skew:}          &  -1.811 & \textbf{  Prob(JB):          } & 1.05e-223  \\
\textbf{Kurtosis:}      &   6.396 & \textbf{  Cond. No.          } &      38.6  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-8088.116957276772,-8078.301446718808,0.0002178961069057873,0.005166653926153482,0.013475319484479163,0.601746760778389,0.0,0.0,0.013047732399978095,0.01390290656898023,0.5916080092408722,0.6118855123159057,nonrobust,1.0,998.0,0.24346814352786003,1.794871522114251e-05,0.00026164260392248274,0.9314685442262612,0.9313998754329008
Line_Chart&find_extremum&reVLAT_VizChoices&Gemini,True,25.465243047927174,92.53093504159007,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.995   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.995   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 1.919e+05   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:08     & \textbf{  Log-Likelihood:    } &    4503.9   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -9004.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -8994.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0032  &        0.000     &     6.539  &         0.000        &        0.002    &        0.004     \\
\textbf{x1}    &       0.9852  &        0.002     &   438.097  &         0.000        &        0.981    &        0.990     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 956.272 & \textbf{  Durbin-Watson:     } &     0.031  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 28857.282  \\
\textbf{Skew:}          &  -4.587 & \textbf{  Prob(JB):          } &      0.00  \\
\textbf{Kurtosis:}      &  27.666 & \textbf{  Cond. No.          } &      27.8  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-9003.790068051872,-8993.974557493908,0.0004926847881045031,0.002248897420696795,0.003221557969427834,0.9852348178124695,9.884090387236268e-11,0.0,0.002254741007366564,0.004188374931489104,0.9808217077981933,0.9896479278267456,nonrobust,1.0,998.0,1.3788016597716402,7.183921660155942e-06,0.0013873585721606366,0.9948270543092503,0.994821870996935
Line_Chart&find_extremum&reVLAT_NoVizChoices&Gemini,True,26.211777599594424,94.09279240438123,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.997   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.997   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 3.318e+05   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:08     & \textbf{  Log-Likelihood:    } &    4778.5   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -9553.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -9543.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0021  &        0.000     &     5.532  &         0.000        &        0.001    &        0.003     \\
\textbf{x1}    &       0.9905  &        0.002     &   576.006  &         0.000        &        0.987    &        0.994     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 828.257 & \textbf{  Durbin-Watson:     } &     0.127  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 27018.474  \\
\textbf{Skew:}          &  -3.591 & \textbf{  Prob(JB):          } &      0.00  \\
\textbf{Kurtosis:}      &  27.431 & \textbf{  Cond. No.          } &      28.0  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-9552.912716125953,-9543.097205567989,0.0003801384619513503,0.0017195161640284316,0.0021028014599419826,0.9904517930588254,4.051558051546564e-08,0.0,0.0013568390884216085,0.0028487638314623567,0.9870775110958746,0.9938260750217761,nonrobust,1.0,998.0,1.3763687752946725,4.148400250423179e-06,0.001381890769514109,0.9970010309142762,0.9969980259352323
Line_Chart&determine_range&reVLAT_VizChoices&ChatGPT,True,29.40680245982185,96.88320241013908,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.999   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.999   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 7.365e+05   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:08     & \textbf{  Log-Likelihood:    } &    5170.6   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } & -1.034e+04  \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } & -1.033e+04  \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0006  &        0.000     &     2.168  &         0.030        &     5.63e-05    &        0.001     \\
\textbf{x1}    &       0.9975  &        0.001     &   858.207  &         0.000        &        0.995    &        1.000     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 848.671 & \textbf{  Durbin-Watson:     } &     0.255  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 49221.828  \\
\textbf{Skew:}          &  -3.495 & \textbf{  Prob(JB):          } &      0.00  \\
\textbf{Kurtosis:}      &  36.652 & \textbf{  Cond. No.          } &      28.2  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-10337.2391401401,-10327.423629582136,0.0002741142416332965,0.0011622884220897248,0.0005942154293154724,0.9974837962177774,0.030412337624627594,0.0,5.630903408611592e-05,0.001132121824544829,0.9952029866851612,0.9997646057503936,nonrobust,1.0,998.0,1.3945557778951316,1.8934420327590986e-06,0.0013978432763201453,0.9986468106064305,0.9986454547052345
Line_Chart&determine_range&reVLAT_NoVizChoices&ChatGPT,True,64.54821275717204,60.650671448171586,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.999   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.999   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 9.399e+05   \\
\textbf{Date:}             & Tue, 05 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     03:23:09     & \textbf{  Log-Likelihood:    } &    5118.4   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } & -1.023e+04  \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } & -1.022e+04  \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0001  &        0.001     &     0.241  &         0.810        &       -0.001    &        0.001     \\
\textbf{x1}    &       0.9997  &        0.001     &   969.483  &         0.000        &        0.998    &        1.002     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 837.689 & \textbf{  Durbin-Watson:     } &     0.172  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 36032.797  \\
\textbf{Skew:}          &   3.540 & \textbf{  Prob(JB):          } &      0.00  \\
\textbf{Kurtosis:}      &  31.542 & \textbf{  Cond. No.          } &      28.5  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-10232.741755671275,-10222.92624511331,0.0005336233497833153,0.0010311980479523713,0.00012840646203083478,0.9997287517129962,0.8098903372534407,0.0,-0.0009187460346138001,0.0011755589586754697,0.9977051865693666,1.0017523168566258,nonrobust,1.0,998.0,1.9756720304994764,2.1020093877622507e-06,0.001979749585453917,0.9989393076327987,0.9989382448147955
