col,success,mu,sigma,summary,AIC,BIC,const. std err,x1 std err,const,x1,const (p-value),x1 (p-value),const (lb),const (ub),x1 (lb),x1 (ub),cov type,model DF,resid. DF,model MSE,resid. MSE,total MSE,R^2,adj. R^2
Unnamed: 0,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.956   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.956   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 2.147e+04   \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     20:33:12     & \textbf{  Log-Likelihood:    } &   -5527.3   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } & 1.106e+04   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } & 1.107e+04   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &     499.5000  &        1.926     &   259.339  &         0.000        &      495.720    &      503.280     \\
\textbf{x1}    &     282.3734  &        1.927     &   146.512  &         0.000        &      278.591    &      286.155     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 166.676 & \textbf{  Durbin-Watson:     } &    0.007  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 2861.457  \\
\textbf{Skew:}          &  -0.000 & \textbf{  Prob(JB):          } &     0.00  \\
\textbf{Kurtosis:}      &  11.287 & \textbf{  Cond. No.          } &     1.00  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",11058.57076647423,11068.386277032194,1.9260479551095044,1.9273018229936603,499.5000000000001,282.3733748061973,0.0,0.0,495.7204316477734,503.2795683522268,278.59134593404417,286.15540367835047,nonrobust,1.0,998.0,79631008.59606928,3709.6607253814855,83416.66666666667,0.95557305872589,0.9555285427526695
Line_Chart&retrieve_value,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.951   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.951   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 1.939e+04   \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     20:33:12     & \textbf{  Log-Likelihood:    } &    2232.1   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -4460.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -4450.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       1.2550  &        0.001     &  1527.051  &         0.000        &        1.253    &        1.257     \\
\textbf{x1}    &       0.1145  &        0.001     &   139.253  &         0.000        &        0.113    &        0.116     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 851.840 & \textbf{  Durbin-Watson:     } &     0.010  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 24575.022  \\
\textbf{Skew:}          &   3.813 & \textbf{  Prob(JB):          } &      0.00  \\
\textbf{Kurtosis:}      &  26.058 & \textbf{  Cond. No.          } &      1.00  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-4460.290430970366,-4450.474920412402,0.0008218436507945344,0.0008223786755621135,1.254996863847809,0.1145188843620356,0.0,0.0,1.2533841240171204,1.2566096036784977,0.11290509462878674,0.11613267409528445,nonrobust,1.0,998.0,13.097516213526879,0.0006754269863512854,0.01378537772362909,0.9510531450940749,0.9510041001492794
Line_Chart,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.908   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.908   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } &     9804.   \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     20:33:12     & \textbf{  Log-Likelihood:    } &    2239.3   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -4475.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -4465.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0266  &        0.001     &    32.564  &         0.000        &        0.025    &        0.028     \\
\textbf{x1}    &       0.0808  &        0.001     &    99.014  &         0.000        &        0.079    &        0.082     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 699.674 & \textbf{  Durbin-Watson:     } &     0.010  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 14152.323  \\
\textbf{Skew:}          &  -2.943 & \textbf{  Prob(JB):          } &      0.00  \\
\textbf{Kurtosis:}      &  20.465 & \textbf{  Cond. No.          } &      1.00  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-4474.527753498474,-4464.71224294051,0.0008160139985107417,0.0008165452281424028,0.026572849120574327,0.08084934463986118,4.547391784111211e-159,0.0,0.02497154907217039,0.028174149168978264,0.07924700213625863,0.08245168714346374,nonrobust,1.0,998.0,6.528114085189648,0.0006658788457654856,0.0071998610342979,0.9076076194796727,0.9075150419440812
retrieve_value,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.967   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.967   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 2.967e+04   \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     20:33:13     & \textbf{  Log-Likelihood:    } &    3054.7   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -6105.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -6096.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &      -0.6225  &        0.000     & -1724.314  &         0.000        &       -0.623    &       -0.622     \\
\textbf{x1}    &       0.0622  &        0.000     &   172.259  &         0.000        &        0.062    &        0.063     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 238.921 & \textbf{  Durbin-Watson:     } &     0.009  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } &   471.204  \\
\textbf{Skew:}          &  -1.386 & \textbf{  Prob(JB):          } & 4.78e-103  \\
\textbf{Kurtosis:}      &   4.904 & \textbf{  Cond. No.          } &      1.00  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-6105.411053567213,-6095.595543009248,0.00036104039869724116,0.00036127543799603347,-0.6225468561677494,0.06223291260092998,0.0,0.0,-0.6232553415723684,-0.6218383707631304,0.061523965968389355,0.0629418592334706,nonrobust,1.0,998.0,3.867897725872546,0.0001303501694914622,0.004001989184209235,0.9674612591770282,0.9674286552283078
ChatGPT,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &      0.937    \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &      0.937    \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } &  1.489e+04    \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &      0.00     \\
\textbf{Time:}             &     20:33:13     & \textbf{  Log-Likelihood:    } &     2869.6    \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &     -5735.    \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &     -5725.    \\
\textbf{Df Model:}         &           1      & \textbf{                     } &               \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &               \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &      -0.3722  &        0.000     &  -856.781  &         0.000        &       -0.373    &       -0.371     \\
\textbf{x1}    &       0.0530  &        0.000     &   122.007  &         0.000        &        0.052    &        0.054     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 2286.237 & \textbf{  Durbin-Watson:     } &      0.546    \\
\textbf{Prob(Omnibus):} &   0.000  & \textbf{  Jarque-Bera (JB):  } & 12166553.830  \\
\textbf{Skew:}          & -20.263  & \textbf{  Prob(JB):          } &       0.00    \\
\textbf{Kurtosis:}      & 541.846  & \textbf{  Cond. No.          } &       1.00    \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-5735.209927188865,-5725.3944166309,0.00043445415324204115,0.0004347369853015666,-0.3722321507760439,0.053040798375912024,0.0,0.0,-0.37308469921012155,-0.3713796023419662,0.05218769492808285,0.053893901823741194,nonrobust,1.0,998.0,2.809666884194322,0.00018875041126925805,0.0030010408354765182,0.9371679752939125,0.9371050173533252
Line_Chart&ChatGPT,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.838   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.837   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } &     5146.   \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     20:33:13     & \textbf{  Log-Likelihood:    } &    1310.9   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -2618.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -2608.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.0698  &        0.002     &    33.814  &         0.000        &        0.066    &        0.074     \\
\textbf{x1}    &       0.1482  &        0.002     &    71.733  &         0.000        &        0.144    &        0.152     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 508.961 & \textbf{  Durbin-Watson:     } &    0.008  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 4862.705  \\
\textbf{Skew:}          &  -2.126 & \textbf{  Prob(JB):          } &     0.00  \\
\textbf{Kurtosis:}      &  12.931 & \textbf{  Cond. No.          } &     1.00  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-2617.8438545205554,-2608.028343962591,0.0020647686378654205,0.002066112813682208,0.0698185092615331,0.14820843436084147,1.2190798791511039e-167,0.0,0.06576672323115741,0.07387029529190879,0.14415401059532348,0.15226285812635945,nonrobust,1.0,998.0,21.937168282484343,0.004263269527912603,0.026218129400741863,0.8375550777956298,0.8373923073324991
retrieve_value&ChatGPT,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.970   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.970   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 3.250e+04   \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     20:33:13     & \textbf{  Log-Likelihood:    } &    2299.9   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -4596.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -4586.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &      -1.4788  &        0.001     & -1925.459  &         0.000        &       -1.480    &       -1.477     \\
\textbf{x1}    &       0.1386  &        0.001     &   180.282  &         0.000        &        0.137    &        0.140     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 428.159 & \textbf{  Durbin-Watson:     } &    0.013  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 2162.911  \\
\textbf{Skew:}          &  -1.947 & \textbf{  Prob(JB):          } &     0.00  \\
\textbf{Kurtosis:}      &   9.062 & \textbf{  Cond. No.          } &     1.00  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-4595.723861041011,-4585.908350483047,0.000768033579948714,0.0007685335740622025,-1.4788171625315105,0.13855313870865266,0.0,0.0,-1.4803243085008104,-1.4773100165622106,0.13704501157898105,0.14006126583832426,nonrobust,1.0,998.0,19.172001961885076,0.000589875579928835,0.019780478268922975,0.9702087530002405,0.9701789020513429
Line_Chart&retrieve_value&ChatGPT,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.926   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.925   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } & 1.240e+04   \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     20:33:14     & \textbf{  Log-Likelihood:    } &    1390.2   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -2776.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -2767.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       2.0010  &        0.002     &  1049.105  &         0.000        &        1.997    &        2.005     \\
\textbf{x1}    &       0.2125  &        0.002     &   111.353  &         0.000        &        0.209    &        0.216     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 911.046 & \textbf{  Durbin-Watson:     } &     0.017  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } & 34706.180  \\
\textbf{Skew:}          &   4.121 & \textbf{  Prob(JB):          } &      0.00  \\
\textbf{Kurtosis:}      &  30.659 & \textbf{  Cond. No.          } &      1.00  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-2776.4631769988737,-2766.6476664409092,0.0019073379360441413,0.0019085796236022801,2.0009982266607143,0.21252583210198162,0.0,0.0,1.997255373799263,2.0047410795221654,0.2087805426225918,0.21627112158137143,nonrobust,1.0,998.0,45.10847845477678,0.0036379380022731073,0.04878792850955489,0.9255082858871638,0.9254336448910587
reVLAT_VizChoices&ChatGPT,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &      0.997   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &      0.997   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } &  2.851e+05   \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &      0.00    \\
\textbf{Time:}             &     20:33:14     & \textbf{  Log-Likelihood:    } &     4037.9   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &     -8072.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &     -8062.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &              \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &              \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.1325  &        0.000     &   981.089  &         0.000        &        0.132    &        0.133     \\
\textbf{x1}    &       0.0722  &        0.000     &   533.991  &         0.000        &        0.072    &        0.072     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 2081.737 & \textbf{  Durbin-Watson:     } &      0.611   \\
\textbf{Prob(Omnibus):} &   0.000  & \textbf{  Jarque-Bera (JB):  } & 7142103.982  \\
\textbf{Skew:}          &  16.316  & \textbf{  Prob(JB):          } &       0.00   \\
\textbf{Kurtosis:}      & 415.730  & \textbf{  Cond. No.          } &       1.00   \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-8071.829690256909,-8062.014179698945,0.00013506829527915146,0.0001351562254873111,0.13251400899328264,0.07217214519506439,0.0,0.0,0.13224895855522267,0.1327790594313426,0.07190692220770153,0.07243736818242724,nonrobust,1.0,998.0,5.202043219504979,1.824344438961596e-05,0.005225475652658474,0.9965122442634963,0.9965087495182693
Line_Chart&reVLAT_VizChoices&ChatGPT,True,0.0,1.0,"\begin{center}
\begin{tabular}{lclc}
\toprule
\textbf{Dep. Variable:}    &        y         & \textbf{  R-squared:         } &     0.846   \\
\textbf{Model:}            &       OLS        & \textbf{  Adj. R-squared:    } &     0.845   \\
\textbf{Method:}           &  Least Squares   & \textbf{  F-statistic:       } &     5463.   \\
\textbf{Date:}             & Mon, 11 Mar 2024 & \textbf{  Prob (F-statistic):} &     0.00    \\
\textbf{Time:}             &     20:33:14     & \textbf{  Log-Likelihood:    } &    825.97   \\
\textbf{No. Observations:} &        1000      & \textbf{  AIC:               } &    -1648.   \\
\textbf{Df Residuals:}     &         998      & \textbf{  BIC:               } &    -1638.   \\
\textbf{Df Model:}         &           1      & \textbf{                     } &             \\
\textbf{Covariance Type:}  &    nonrobust     & \textbf{                     } &             \\
\bottomrule
\end{tabular}
\begin{tabular}{lcccccc}
               & \textbf{coef} & \textbf{std err} & \textbf{t} & \textbf{P$> |$t$|$} & \textbf{[0.025} & \textbf{0.975]}  \\
\midrule
\textbf{const} &       0.5720  &        0.003     &   170.561  &         0.000        &        0.565    &        0.579     \\
\textbf{x1}    &       0.2480  &        0.003     &    73.913  &         0.000        &        0.241    &        0.255     \\
\bottomrule
\end{tabular}
\begin{tabular}{lclc}
\textbf{Omnibus:}       & 150.613 & \textbf{  Durbin-Watson:     } &    0.002  \\
\textbf{Prob(Omnibus):} &   0.000 & \textbf{  Jarque-Bera (JB):  } &   76.496  \\
\textbf{Skew:}          &  -0.522 & \textbf{  Prob(JB):          } & 2.45e-17  \\
\textbf{Kurtosis:}      &   2.136 & \textbf{  Cond. No.          } &     1.00  \\
\bottomrule
\end{tabular}
%\caption{OLS Regression Results}
\end{center}

Notes: \newline
 [1] Standard Errors assume that the covariance matrix of the errors is correctly specified.",-1647.9364437125332,-1638.120933154569,0.003353390373220305,0.0033555734489224775,0.5719564654500503,0.2480213937341422,0.0,0.0,0.5653759604872003,0.5785369704129003,0.24143660482612225,0.2546061826421621,nonrobust,1.0,998.0,61.43459718742035,0.01124522699520656,0.07273006379242893,0.8455388332424739,0.8453840625343001
