key,statistic (2-sided),p-value (2-sided),statistic (right-sided),p-value (right-sided)
ChatGPT&Line_Chart&retrieve_value,740.0,3.057832605615041e-164,499760.0,1.5289163028075205e-164
Gemini&Line_Chart&retrieve_value,101212.0,7.840397725467312e-60,101212.0,1.0
ChatGPT&Line_Chart&find_extremum,51215.0,3.0918588719264282e-105,51215.0,1.0
Gemini&Line_Chart&find_extremum,238290.0,0.1904765955969332,238290.0,0.9047617022015334
ChatGPT&Line_Chart&determine_range,0.0,3.325859118934513e-165,0.0,1.0
Gemini&Line_Chart&determine_range,118865.0,6.739866551162845e-47,118865.0,1.0
ChatGPT&Line_Chart&find_correlations_trends,0.0,3.325859118934513e-165,500500.0,1.6629295594672565e-165
Gemini&Line_Chart&find_correlations_trends,0.0,3.325859118934513e-165,500500.0,1.6629295594672565e-165
ChatGPT&Line_Chart&make_comparisons,5337.0,2.5535500460292485e-158,495163.0,1.2767750230146243e-158
Gemini&Line_Chart&make_comparisons,8219.0,1.157854050598863e-154,492281.0,5.789270252994315e-155
Bar_Chart&ChatGPT&retrieve_value,151.0,5.232907307531381e-165,500349.0,2.6164536537656905e-165
Bar_Chart&Gemini&retrieve_value,189401.0,2.7256596856829403e-11,189401.0,0.9999999999863717
Bar_Chart&ChatGPT&find_extremum,34597.0,3.352349929652901e-123,34597.0,1.0
Bar_Chart&Gemini&find_extremum,33831.0,4.599215959609813e-124,33831.0,1.0
Bar_Chart&ChatGPT&determine_range,15854.0,3.482268764181704e-145,15854.0,1.0
Bar_Chart&Gemini&determine_range,16611.0,2.918161849051283e-144,16611.0,1.0
Bar_Chart&ChatGPT&make_comparisons,418.0,1.1654843619673637e-164,418.0,1.0
Bar_Chart&Gemini&make_comparisons,53.0,3.8994791114624603e-165,53.0,1.0
ChatGPT&Stacked_Bar_Chart&retrieve_value,0.0,3.325859118934513e-165,0.0,1.0
Gemini&Stacked_Bar_Chart&retrieve_value,14459.0,6.80303815249038e-147,14459.0,1.0
ChatGPT&Stacked_Bar_Chart&find_extremum,0.0,3.325859118934513e-165,0.0,1.0
Gemini&Stacked_Bar_Chart&find_extremum,12650.0,3.992556303482099e-149,487850.0,1.9962781517410495e-149
ChatGPT&Stacked_Bar_Chart&make_comparisons,0.0,3.325859118934513e-165,500500.0,1.6629295594672565e-165
Gemini&Stacked_Bar_Chart&make_comparisons,0.0,3.325859118934513e-165,500500.0,1.6629295594672565e-165
ChatGPT&OneHundred_Stacked_Bar_Chart&retrieve_value,3513.0,1.1766825503953334e-160,496987.0,5.883412751976667e-161
