index,chartType,qNum,question,answer,qType,qaInput,response,time,correct,qType_simple,expType,LLM
3520,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60-140,63.862910985946655,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4506,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60-140kg,6.024668216705322,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4448,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,2.6618852615356445,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4237,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,2.352494955062866,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1446,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,40-140kg,2.026283025741577,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1752,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,1.858198881149292,,determine range,reVLAT_Viz+NoChoices,ChatGPT
0,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,2.762813091278076,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5225,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450,3.743676900863648,,determine range,reVLAT_Viz+NoChoices,ChatGPT
170,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$2.20 ,1.7709681987762451,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5565,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,1.931555986404419,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2611,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,2-20Mbps,60.55409097671509,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5692,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-25Mbps,2.738758087158203,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4008,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,61.31557083129883,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5725,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,5.119252920150757,,determine range,reVLAT_Viz+NoChoices,ChatGPT
